"Date","Impressions","Installations"
"2016-04-26","",""
"2016-04-27","",""
"2016-04-28","",""
"2016-04-29","",""
"2016-04-30","",""
"2016-05-01","",""
"2016-05-02","",""
"2016-05-03","",""
"2016-05-04","",""
"2016-05-05","",""
"2016-05-06","",""
"2016-05-07","",""
"2016-05-08","",""
"2016-05-09","",""
"2016-05-10","",""
"2016-05-11","",""
"2016-05-12","",""
"2016-05-13","",""
"2016-05-14","",""
"2016-05-15","",""
"2016-05-16","",""
"2016-05-17","",""
"2016-05-18","",""
"2016-05-19","",""
"2016-05-20","",""
"2016-05-21","",""
"2016-05-22","",""
"2016-05-23","",""
"2016-05-24","",""
"2016-05-25","",""
"2016-05-26","",""
"2016-05-27","",""
"2016-05-28","",""
"2016-05-29","",""
"2016-05-30","",""
"2016-05-31","",""
"2016-06-01","",""
"2016-06-02","",""
"2016-06-03","",""
"2016-06-04","",""
"2016-06-05","",""
"2016-06-06","",""
"2016-06-07","",""
"2016-06-08","",""
"2016-06-09","",""
"2016-06-10","",""
"2016-06-11","",""
"2016-06-12","",""
"2016-06-13","",""
"2016-06-14","6.0",""
"2016-06-15","71.0",""
"2016-06-16","114.0","2.0"
"2016-06-17","101.0","0.0"
"2016-06-18","98.0","2.0"
"2016-06-19","80.0","0.0"
"2016-06-20","91.0","0.0"
"2016-06-21","93.0","2.0"
"2016-06-22","78.0","1.0"
"2016-06-23","103.0","0.0"
"2016-06-24","100.0","1.0"
"2016-06-25","123.0","1.0"
"2016-06-26","96.0","0.0"
"2016-06-27","95.0","0.0"
"2016-06-28","116.0","0.0"
"2016-06-29","118.0","0.0"
"2016-06-30","81.0","0.0"
"2016-07-01","94.0","0.0"
"2016-07-02","96.0","0.0"
"2016-07-03","104.0","0.0"
"2016-07-04","109.0","0.0"
"2016-07-05","108.0","1.0"
"2016-07-06","79.0","0.0"
"2016-07-07","86.0","0.0"
"2016-07-08","89.0","0.0"
"2016-07-09","116.0","0.0"
"2016-07-10","132.0","1.0"
"2016-07-11","144.0","1.0"
"2016-07-12","145.0","0.0"
"2016-07-13","126.0","1.0"
"2016-07-14","132.0","0.0"
"2016-07-15","173.0","0.0"
"2016-07-16","99.0","1.0"
"2016-07-17","88.0","0.0"
"2016-07-18","84.0","0.0"
"2016-07-19","90.0","0.0"
"2016-07-20","69.0","0.0"
"2016-07-21","98.0","1.0"
"2016-07-22","85.0","0.0"
"2016-07-23","71.0","0.0"
"2016-07-24","85.0","0.0"
"2016-07-25","87.0","0.0"
